feature,importance
PREV_PRODUCT_COMBINATION_POS_household_without_interest_MEAN,4
PREV_WEEKDAY_APPR_PROCESS_START_FRIDAY_MEAN,4
PREV_CHANNEL_TYPE_Regional_Local_MEAN,3
PREV_NAME_YIELD_GROUP_XNA_MEAN,3
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,3
PREV_NAME_SELLER_INDUSTRY_Construction_MEAN,3
PREV_CODE_REJECT_REASON_SCO_MEAN,3
PREV_CHANNEL_TYPE_Credit_and_cash_offices_MEAN,3
FLAG_OWN_CAR,3
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,3
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,3
PREV_AMT_APPLICATION_MEAN,3
PREV_AMT_CREDIT_MAX,3
PREV_RATE_DOWN_PAYMENT_MIN,3
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,3
PREV_WEEKDAY_APPR_PROCESS_START_TUESDAY_MEAN,3
REFUSED_AMT_ANNUITY_MEAN,3
REFUSED_CNT_PAYMENT_MEAN,3
REFUSED_RATE_DOWN_PAYMENT_MEAN,3
REFUSED_HOUR_APPR_PROCESS_START_MIN,3
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,3
PREV_CODE_REJECT_REASON_HC_MEAN,3
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,3
FLAG_WORK_PHONE,3
CC_MONTHS_BALANCE_MIN,3
FLOORSMIN_AVG,3
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,3
OCCUPATION_TYPE_Laborers,3
LANDAREA_AVG,3
CC_AMT_RECEIVABLE_PRINCIPAL_VAR,3
OCCUPATION_TYPE_Low_skill_Laborers,3
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,3
LIVINGAREA_MEDI,3
CC_CNT_DRAWINGS_POS_CURRENT_VAR,3
COMMONAREA_MEDI,3
CC_AMT_PAYMENT_CURRENT_MIN,3
CC_AMT_DRAWINGS_OTHER_CURRENT_MAX,3
CC_AMT_DRAWINGS_OTHER_CURRENT_SUM,3
FLAG_DOCUMENT_16,3
CC_NAME_CONTRACT_STATUS_Completed_SUM,3
CC_AMT_INST_MIN_REGULARITY_MEAN,3
BURO_MONTHS_BALANCE_MAX_MAX,3
AMT_REQ_CREDIT_BUREAU_MON,3
LANDAREA_MODE,3
WEEKDAY_APPR_PROCESS_START_MONDAY,3
CC_CNT_DRAWINGS_CURRENT_SUM,3
LIVINGAPARTMENTS_MODE,3
YEARS_BUILD_AVG,3
PREV_NAME_CONTRACT_STATUS_Canceled_MEAN,2
AMT_REQ_CREDIT_BUREAU_YEAR,2
NAME_FAMILY_STATUS_Single_not_married,2
ORGANIZATION_TYPE_Police,2
PREV_NAME_GOODS_CATEGORY_Audio_Video_MEAN,2
PREV_HOUR_APPR_PROCESS_START_MIN,2
CC_AMT_RECIVABLE_MEAN,2
PREV_NAME_PORTFOLIO_XNA_MEAN,2
PREV_AMT_GOODS_PRICE_MEAN,2
ORGANIZATION_TYPE_Realtor,2
CC_CNT_INSTALMENT_MATURE_CUM_MEAN,2
POS_SK_DPD_MEAN,2
ORGANIZATION_TYPE_Restaurant,2
POS_SK_DPD_MAX,2
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,2
PREV_NAME_CASH_LOAN_PURPOSE_XNA_MEAN,2
CC_AMT_PAYMENT_TOTAL_CURRENT_VAR,2
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,2
PREV_NAME_TYPE_SUITE_Spouse_partner_MEAN,2
PREV_NAME_CASH_LOAN_PURPOSE_Other_MEAN,2
PREV_NAME_CONTRACT_TYPE_Cash_loans_MEAN,2
CC_AMT_TOTAL_RECEIVABLE_MAX,2
REFUSED_RATE_DOWN_PAYMENT_MIN,2
ORGANIZATION_TYPE_Security_Ministries,2
CC_AMT_RECIVABLE_VAR,2
OCCUPATION_TYPE_Sales_staff,2
PREV_NAME_TYPE_SUITE_Family_MEAN,2
REFUSED_APP_CREDIT_PERC_MAX,2
CC_NAME_CONTRACT_STATUS_Active_MEAN,2
APPROVED_AMT_GOODS_PRICE_MEAN,2
CC_NAME_CONTRACT_STATUS_Completed_VAR,2
CC_AMT_INST_MIN_REGULARITY_MIN,2
BURO_AMT_CREDIT_SUM_LIMIT_SUM,2
CC_MONTHS_BALANCE_SUM,2
CC_MONTHS_BALANCE_MAX,2
YEARS_BUILD_MEDI,2
REFUSED_AMT_GOODS_PRICE_MAX,2
COMMONAREA_AVG,2
BASEMENTAREA_AVG,2
NONLIVINGAREA_MODE,2
INSTAL_PAYMENT_DIFF_VAR,2
ACTIVE_MONTHS_BALANCE_MAX_MAX,2
PREV_CODE_REJECT_REASON_VERIF_MEAN,2
REFUSED_AMT_GOODS_PRICE_MIN,2
YEARS_BUILD_MODE,2
ENTRANCES_MODE,2
REFUSED_AMT_DOWN_PAYMENT_MEAN,2
CC_CNT_DRAWINGS_POS_CURRENT_MIN,2
BURO_AMT_ANNUITY_MEAN,2
CC_MONTHS_BALANCE_VAR,2
PREV_PRODUCT_COMBINATION_Cash_MEAN,2
CC_AMT_DRAWINGS_ATM_CURRENT_SUM,2
PREV_NAME_CLIENT_TYPE_Repeater_MEAN,2
CC_CNT_DRAWINGS_POS_CURRENT_MEAN,2
PREV_NAME_SELLER_INDUSTRY_Clothing_MEAN,2
FLAG_DOCUMENT_13,2
CC_AMT_DRAWINGS_CURRENT_SUM,2
FLAG_DOCUMENT_11,2
OBS_60_CNT_SOCIAL_CIRCLE,2
OBS_30_CNT_SOCIAL_CIRCLE,2
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,2
CLOSED_MONTHS_BALANCE_MIN_MIN,2
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,2
LIVINGAPARTMENTS_MEDI,2
CC_AMT_BALANCE_VAR,2
PREV_NAME_CLIENT_TYPE_Refreshed_MEAN,2
CC_CNT_DRAWINGS_POS_CURRENT_SUM,1
NAME_HOUSING_TYPE_Rented_apartment,1
CC_CNT_INSTALMENT_MATURE_CUM_MAX,1
PREV_NAME_TYPE_SUITE_Children_MEAN,1
PREV_NAME_TYPE_SUITE_Other_B_MEAN,1
REGION_RATING_CLIENT,1
CC_CNT_INSTALMENT_MATURE_CUM_VAR,1
CC_NAME_CONTRACT_STATUS_Active_SUM,1
COMMONAREA_MODE,1
ELEVATORS_MODE,1
FLOORSMIN_MODE,1
PREV_PRODUCT_COMBINATION_POS_other_with_interest_MEAN,1
BASEMENTAREA_MEDI,1
PREV_PRODUCT_COMBINATION_Cash_Street_high_MEAN,1
PREV_PRODUCT_COMBINATION_Card_X_Sell_MEAN,1
NONLIVINGAPARTMENTS_MEDI,1
PREV_NAME_SELLER_INDUSTRY_Auto_technology_MEAN,1
PREV_CHANNEL_TYPE_Country_wide_MEAN,1
PREV_CODE_REJECT_REASON_SCOFR_MEAN,1
PREV_NAME_PORTFOLIO_Cash_MEAN,1
PREV_NAME_GOODS_CATEGORY_XNA_MEAN,1
REFUSED_AMT_CREDIT_MEAN,1
NAME_TYPE_SUITE_Other_A,1
PREV_NAME_GOODS_CATEGORY_Vehicles_MEAN,1
PREV_NAME_GOODS_CATEGORY_Tourism_MEAN,1
PREV_NAME_GOODS_CATEGORY_Sport_and_Leisure_MEAN,1
PREV_NAME_GOODS_CATEGORY_Mobile_MEAN,1
NAME_TYPE_SUITE_Unaccompanied,1
PREV_NAME_GOODS_CATEGORY_Medical_Supplies_MEAN,1
NAME_EDUCATION_TYPE_Lower_secondary,1
REFUSED_AMT_APPLICATION_MIN,1
REFUSED_AMT_APPLICATION_MAX,1
CC_SK_DPD_MEAN,1
NAME_FAMILY_STATUS_Widow,1
REFUSED_AMT_DOWN_PAYMENT_MAX,1
BURO_STATUS_3_MEAN_MEAN,1
CC_AMT_DRAWINGS_ATM_CURRENT_VAR,1
BURO_CREDIT_CURRENCY_currency_2_MEAN,1
CC_NAME_CONTRACT_STATUS_Signed_VAR,1
WALLSMATERIAL_MODE_Stone_brick,1
