threshold,auc,accuracy,precision,recall,f1,business_cost,tn,fp,fn,tp
0.30999999999999994,0.786635475336215,0.5058534681798966,0.12825311421720567,0.8833836858006042,0.22398692643566628,35602,26725,29812,579,4386
0.3199999999999999,0.786635475336215,0.5204221000943059,0.13086137362306627,0.875730110775428,0.22769762509491764,35048,27659,28878,617,4348
0.32999999999999985,0.786635475336215,0.5343240870215603,0.13338907987240237,0.867472306143001,0.23122349277929885,34562,28555,27982,658,4307
0.33999999999999986,0.786635475336215,0.548356151019479,0.13621866428525867,0.860221550855992,0.23519370026707787,34023,29454,27083,694,4271
0.34999999999999987,0.786635475336215,0.5622256186790674,0.1388441169698365,0.8501510574018127,0.23870383984617993,33620,30357,26180,744,4221
0.3599999999999999,0.786635475336215,0.5746967578290136,0.1412513542795233,0.840281973816717,0.24184806237500361,33294,31173,25364,793,4172
0.3699999999999999,0.786635475336215,0.5882735520796072,0.14434466613089206,0.83202416918429,0.2460100047641734,32828,32049,24488,834,4131
0.3799999999999999,0.786635475336215,0.6012324802445449,0.14744051910598413,0.823766364551863,0.25011466136676347,32400,32887,23650,875,4090
0.3899999999999999,0.786635475336215,0.6131020129426685,0.1501560642092747,0.8138972809667674,0.2535370329704803,32111,33666,22871,924,4041
0.3999999999999998,0.786635475336215,0.6263536145166011,0.15351771358233643,0.8038267875125881,0.2577998837284413,31746,34531,22006,974,3991
0.4099999999999998,0.786635475336215,0.6382881857500569,0.15686430245026012,0.7955689828801611,0.26205798447555234,31381,35306,21231,1015,3950
0.4199999999999998,0.786635475336215,0.6497837468700205,0.16000656437187166,0.7854984894259819,0.26585773202903984,31124,36063,20474,1065,3900
0.4299999999999998,0.786635475336215,0.6611817501869858,0.16312237361517892,0.7740181268882175,0.2694572991165335,30936,36821,19716,1122,3843
0.43999999999999984,0.786635475336215,0.6721244837566258,0.16634471858811134,0.7631419939577039,0.27314998377969213,30749,37548,18989,1176,3789
0.44999999999999984,0.786635475336215,0.6828558420864362,0.16990555757355613,0.7536757301107754,0.2772981585090222,30512,38255,18282,1223,3742
0.45999999999999985,0.786635475336215,0.69339208481025,0.17300630825722624,0.7401812688821753,0.28045941923913453,30467,38970,17567,1290,3675
0.46999999999999986,0.786635475336215,0.703261682546909,0.17659087589463945,0.7305135951661631,0.2844259723964868,30292,39625,16912,1338,3627
0.47999999999999976,0.786635475336215,0.7137816656368898,0.1807940998181451,0.720845921450151,0.28908363959452366,30077,40320,16217,1386,3579
0.48999999999999977,0.786635475336215,0.7227732431465643,0.18401924384249332,0.7087613293051359,0.29217867818000665,30064,40933,15604,1446,3519
0.4999999999999998,0.786635475336215,0.7322038307697311,0.18829585478190192,0.6998992950654582,0.2967549103330487,29880,41557,14980,1490,3475
0.5099999999999998,0.786635475336215,0.7422685441123866,0.19290227939517038,0.6886203423967775,0.3013795231169289,29765,42232,14305,1546,3419
0.5199999999999998,0.786635475336215,0.751243861988228,0.1964873120300752,0.6737160120845922,0.30424303060621216,29879,42858,13679,1620,3345
0.5299999999999998,0.786635475336215,0.7604630743715651,0.20122361578464362,0.6624370594159114,0.3086813702487095,29816,43481,13056,1676,3289
0.5399999999999998,0.786635475336215,0.7692107573737439,0.20550130831578275,0.648539778449144,0.3121062324319085,29899,44088,12449,1745,3220
