threshold,auc,accuracy,precision,recall,f1,business_cost,tn,fp,fn,tp
0.29999999999999993,0.779186972372057,0.43427856004682774,0.11623179455509237,0.9097683786505538,0.2061286421612248,38825,22192,34345,448,4517
0.30999999999999994,0.779186972372057,0.45237553250300805,0.11874983403701639,0.9007049345417926,0.20983483483483487,38117,23350,33187,493,4472
0.3199999999999999,0.779186972372057,0.469659523267536,0.12135071479432546,0.8924471299093656,0.21365028086501603,37423,24454,32083,534,4431
0.32999999999999985,0.779186972372057,0.48702481220122923,0.12407375982804457,0.8835850956696878,0.21759293703345486,36751,25566,30971,578,4387
0.33999999999999986,0.779186972372057,0.5030080322591135,0.1266878590801715,0.8749244712990937,0.2213277627757681,36155,26592,29945,621,4344
0.34999999999999987,0.779186972372057,0.5198530129101493,0.1299671617509716,0.8688821752265861,0.2261124796897112,35389,27658,28879,651,4314
0.3599999999999999,0.779186972372057,0.5351533283470457,0.1329397141081417,0.861631419939577,0.23034055727554179,34772,28635,27902,687,4278
0.3699999999999999,0.779186972372057,0.549770739162954,0.1357589357268793,0.8529707955689829,0.2342367256637168,34260,29577,26960,730,4235
0.3799999999999999,0.779186972372057,0.564924717895353,0.13855441669154475,0.8412890231621349,0.23792435634540895,33850,30567,25970,788,4177
0.3899999999999999,0.779186972372057,0.5787454066534422,0.14127642081463465,0.8306143001007049,0.24148026701018854,33477,31470,25067,841,4124
0.3999999999999998,0.779186972372057,0.5930538844265227,0.14461331349417225,0.8221550855991944,0.24596288262231863,32975,32392,24145,883,4082
0.4099999999999998,0.779186972372057,0.6068745731846119,0.14748082639169205,0.8094662638469285,0.24950335237149243,32692,33305,23232,946,4019
0.4199999999999998,0.779186972372057,0.6214594647328542,0.1509642503239576,0.7977844914400806,0.253885844309842,32317,34260,22277,1004,3961
0.4299999999999998,0.779186972372057,0.6348899222789502,0.15407436708860758,0.7844914400805639,0.2575632335923293,32085,35152,21385,1070,3895
0.43999999999999984,0.779186972372057,0.647816331176222,0.15776310934361035,0.7750251762336354,0.2621610573647636,31713,35994,20543,1117,3848
0.44999999999999984,0.779186972372057,0.6597996813111768,0.1611601834550705,0.7643504531722054,0.26619436748149966,31453,36784,19753,1170,3795
0.45999999999999985,0.779186972372057,0.671831810347631,0.16453575522440703,0.7516616314199396,0.26997504250009047,31280,37587,18950,1233,3732
0.46999999999999986,0.779186972372057,0.6835224870735911,0.16832136157752664,0.7409869083585096,0.27432704496309,31038,38359,18178,1286,3679
0.47999999999999976,0.779186972372057,0.6948391922213911,0.17152919899100472,0.7258811681772407,0.2774869109947644,31017,39130,17407,1361,3604
0.48999999999999977,0.779186972372057,0.7066436863841826,0.1761996731540633,0.7166163141993958,0.28285237300262345,30705,39902,16635,1407,3558
0.4999999999999998,0.779186972372057,0.7175213814184904,0.18040387389243767,0.705337361530715,0.28732001476801905,30540,40627,15910,1463,3502
0.5099999999999998,0.779186972372057,0.7285291535234627,0.18490464679022295,0.6932527693856999,0.2919423240033927,30403,41364,15173,1523,3442
0.5199999999999998,0.779186972372057,0.7393580696562714,0.18927267621454646,0.6787512588116817,0.2960035133948177,30385,42102,14435,1595,3370
0.5299999999999998,0.779186972372057,0.7490813306884329,0.19321179436074798,0.6638469284994964,0.2993098438067563,30453,42774,13763,1669,3296
0.5399999999999998,0.779186972372057,0.7587395531852623,0.1974998468043385,0.6491440080563947,0.3028566059011464,30516,43441,13096,1742,3223
0.5499999999999998,0.779186972372057,0.7683164775129264,0.20201566311464886,0.6338368580060423,0.3063817358710997,30611,44106,12431,1818,3147
0.5599999999999997,0.779186972372057,0.7771291990504374,0.20577544426494346,0.6157099697885197,0.30846072347510217,30879,44738,11799,1908,3057
